ax,ay,az
16616,-992,1548
16436,-636,1036
16396,-788,1372
16512,-828,1604
16532,-684,1384
16628,-588,1648
16404,-908,1468
16360,-936,1336
16592,-872,1168
16428,-700,1352
16704,-996,1500
16208,-932,1400
16648,-1036,1496
16740,-824,1436
16480,-884,1384
16452,-576,1264
16576,-1020,1664
16568,-672,1424
16464,-716,1308
16404,-792,1364
16508,-628,1836
16212,-784,960
16496,-780,1452
16612,-708,1960
16364,-804,1452
16228,-912,1156
16300,-984,1700
16556,-776,1564
16248,-624,1068
16588,-1072,1756
16508,-712,1424
16744,-752,1608
16620,-592,1132
16408,-1128,1712
16460,-772,1456
16516,-836,1664
16424,-824,1236
16528,-824,1596
16212,-888,1304
16872,-756,1256
16208,-848,1316
16688,-768,1288
16388,-828,1344
16452,-980,1092
16348,-848,1240
16520,-980,1356
16376,-768,1116
16664,-812,1316
16396,-876,1156
16712,-732,1036
16592,-856,1424
16440,-792,1304
15992,-928,1008
16396,-1088,1464
16468,-528,1184
16324,-892,968
16652,-868,1224
16384,-696,1212
16644,-988,1188
16564,-664,1320
16304,-1096,1308
16776,-720,1384
16700,-684,1216
16340,-728,872
16980,-820,1596
16412,-812,888
16644,-756,1708
16628,-580,1036
16336,-920,1384
16532,-692,1344
16568,-872,1200
16516,-500,1108
16232,-1000,1316
16504,-1064,1436
16456,-700,1236
16308,-940,1304
16384,-556,1380
16236,-1068,1360
16276,-988,1244
16324,-832,1248
16548,-828,1692
16484,-812,1060
16728,-792,1508
16584,-952,1188
16440,-816,1300
16648,-556,1180
16300,-908,1508
16580,-996,1168
16156,-744,988
16328,-844,1284
16716,-1012,1164
16588,-908,1412
16608,-856,1392
16424,-764,1352
16412,-1108,1512
16372,-960,1280
16908,-612,1676
16184,-360,924
17188,-560,1508
16576,-956,1168
16460,-1408,1220
16224,-1660,1456
16300,-1160,876
16612,-640,1000
16292,-896,1124
16424,-512,1128
16444,-876,1056
16544,-848,1156
16692,-844,980
16704,-816,1300
16504,-704,1220
16632,-876,1156
16712,-920,1644
16508,-924,1280
16316,-648,1356
16232,-852,1332
16628,-672,1280
16720,-536,1272
16352,-620,1280
16100,-976,1408
17572,-312,1772
17208,-148,1672
16844,-60,1724
