ax,ay,az
14768,-188,-1796
13612,688,-2516
13100,-4212,-336
13652,-1880,-2452
13840,-2400,-412
16384,-3576,-552
14964,-1116,-2480
13592,-2328,-2136
13228,-952,-1184
15296,-644,28
16132,-1064,-1156
17240,-2744,-1168
17808,-1936,304
18968,-1088,1016
19992,1020,2340
15904,-2400,-4024
20688,-1980,1972
21396,-404,4700
19560,-3260,3672
16940,-2592,2872
15740,-2904,3400
16124,-2416,2724
16268,-496,1580
15892,-844,2060
16768,-1188,2336
16104,-1272,2656
15928,-1212,2284
16932,-1464,2700
17968,-1940,2024
19528,-2356,2828
19764,-2896,2212
16864,-4384,-4800
17376,-3016,1120
20192,-2632,424
18892,-256,-1420
16644,-2424,-428
13868,-2784,-1328
14004,-3708,-1732
12668,-1464,-896
12356,-648,-2740
10120,-1876,-2668
9780,-2924,-2172
11764,-2872,-1952
13820,-1592,-2584
14628,-580,-2336
17104,-1252,884
16288,-1096,-2208
17572,-1420,1868
20444,1372,-2296
21016,-8,-564
20128,1048,2320
18160,-88,4932
19792,1920,2048
18876,-52,7732
18572,1156,4100
19172,1488,5752
18656,736,6072
18724,864,6136
19236,644,4624
20272,2056,3488
17536,-356,1964
14696,-2140,-996
16156,-3980,3844
15156,-392,200
14236,-1600,-1440
17080,-1108,-252
15552,-1744,-2208
15752,-2836,-260
14180,-2584,-1728
14528,-2748,-1712
13856,-2548,-1560
13732,-2464,-960
13072,-1924,-324
13928,-908,-2348
13276,-2152,-1044
15532,-1044,84
15400,528,-1860
16716,92,-100
17292,228,-1828
16700,-628,844
17656,-1336,-92
18476,-616,1040
18032,-2036,-2220
18308,-696,-156
19584,-820,1044
18936,-2052,-252
19388,-2548,2140
19124,-1388,1152
17508,-1692,664
19012,8,584
17584,-756,1852
15776,-1012,1360
15304,-992,2512
14364,-1732,2004
13380,-1216,-156
13552,-836,1564
13664,568,144
14128,2416,-1432
14992,600,-336
16068,660,-368
17652,164,-108
16568,-468,-1000
18744,-504,-120
19324,-572,1140
19916,-640,976
19544,-64,948
19088,-820,1232
18500,-1684,1404
18004,-2364,1312
16736,-3460,948
15608,-3140,1024
15712,-2736,2620
14964,-1380,548
13448,-300,-748
12860,84,752
13876,-8,940
13116,1232,152
15780,1228,-1056
16072,516,-1212
17984,760,-1184
18692,-2412,924
19668,92,1264
18916,-172,1700
18600,-2352,200
18740,-3116,1996
18120,-4232,2048
18112,-148,-1108
16516,-2220,980
15164,-2904,1024
14968,-2484,2524
13780,-1624,-328
14336,-996,60
14848,-676,-792
14752,-428,-20
16460,720,-1468
14540,-1052,-1308
15948,2172,-3068
17456,1064,192
17704,604,280
17200,-1596,-864
19900,-596,-272
19200,-3016,784
19096,-3340,2236
18716,-5328,1988
18464,-6448,4028
21944,-1836,1920
19120,-1408,-940
17428,-2596,580
16696,-2184,488
14168,-3128,-308
14188,-1596,276
15128,-2184,16
10896,-716,-2108
13580,-3064,572
11140,-2868,-1748
14148,-1360,-192
13368,-1380,-2920
15156,-1156,-748
16168,-312,-1220
15532,-608,-2424
17916,-888,-912
17036,-144,-188
17544,-2724,-268
16260,-4992,-3208
17072,-7460,-2212
14588,-6456,-880
21000,-2564,-1888
20080,-3784,904
22032,-3488,1076
21564,-1956,1588
19940,-1360,1544
17620,-2624,1108
18036,-2296,256
17220,-2844,-1036
16312,-2804,728
16184,-1868,-1132
14440,-1748,-1364
14496,-1580,-2904
14312,-1864,-1976
13364,-1768,-2136
13268,-696,-1464
12004,-1020,-2064
11476,-1896,-2884
13028,-1000,-3136
13136,-376,-2172
15956,-2380,-396
16364,-4788,-1460
16060,-848,-172
19468,-4464,1344
20564,-1776,-3708
21856,1156,3580
20496,1208,2112
22852,800,2644
20860,-768,4008
17136,-3592,2424
16568,-4468,3000
14972,-3684,724
14972,-6356,2196
14596,-9800,-2988
13272,-7408,-2644
16776,-6616,0
15560,-7992,824
15652,-9756,956
14396,-9572,904
15516,-7432,160
13916,-7340,-540
15180,-3324,-2180
15516,-2500,-96
15652,532,-3160
13276,-760,-3376
14484,632,952
12096,3884,-1584
17716,5160,-2780
16284,5076,-648
15092,5228,-3748
16528,3032,-1848
14452,3652,-3504
17084,1356,-2992
13060,-1944,-2236
16532,-452,460
15872,-5056,-3876
17916,-3556,1024
14560,-7664,2876
15488,-8956,3068
14292,-10184,-260
14376,-9860,2436
14336,-9608,-1440
13936,-10148,256
14360,-10788,596
13460,-9904,-276
13924,-10380,476
15020,-9604,476
15380,-9632,776
16364,-8460,-2200
15916,-7292,-624
16304,-2632,-368
15228,-3040,-1004
16664,192,-1588
16660,1944,112
13476,1732,-3152
15156,3092,596
15072,4612,168
15460,4604,316
15200,4812,-132
13756,4320,-2616
16828,2308,-424
15876,764,-1152
17364,-1620,-512
14288,-3784,-2516
16172,-5520,-188
16092,-4920,-1952
15812,-7312,1052
15192,-7632,864
16200,-6004,-152
16080,-6892,772
16388,-7388,-948
15252,-6640,-524
15952,-8184,348
15748,-7996,-112
16684,-7668,-400
15684,-7516,972
15304,-6276,-968
15244,-4180,-744
16292,-1576,-248
18120,-2652,648
15936,536,-292
14016,1168,-1036
14332,1404,-1220
16056,1536,2076
16612,1964,-452
18888,2608,1452
15716,-132,-680
16060,-848,-1972
17020,-1756,624
20372,-5816,3340
17468,-6480,-368
20396,-2832,1980
15116,-1876,-1980
13488,-3592,-2692
15596,-564,412
13416,1304,-1540
11028,2112,-3144
14408,3564,-220
14700,6772,-176
17080,5740,1292
18236,4156,2124
19336,1924,1608
16872,-1828,1068
15596,-5292,-1380
19256,-2940,368
18936,-3724,2944
19432,-5724,1676
18128,-3152,200
17012,-5152,-1436
16148,-5240,-428
14796,-3536,1128
12388,20,-3304
