ax,ay,az
14248,-32,6808
14396,16,6984
14504,-24,6920
14436,84,6908
14492,40,6896
14448,4,6976
14472,204,7036
14584,176,6932
14448,144,6960
14568,164,6844
14400,120,6836
14520,176,6948
14528,76,6944
14488,132,6948
14372,116,6968
14548,52,6872
14496,16,6944
14556,0,6944
14440,12,7132
14512,68,6988
14416,44,6924
14512,24,7044
14552,80,6948
14612,28,7004
14504,116,6988
14500,28,6984
14560,124,6996
14452,52,6924
14460,60,7064
14504,96,6948
14592,192,6960
14544,128,6988
14508,276,6880
14536,184,6808
14528,168,6880
14516,68,6944
14432,60,6960
14376,124,6932
14408,72,6960
14536,44,6936
14532,36,6960
14532,8,6888
14548,4,6972
14504,68,6976
14512,92,6964
14644,4,7160
14552,-52,6956
14568,48,6960
14416,40,6836
14444,68,6812
14500,16,6992
14592,72,7040
14504,60,6932
14464,-20,6992
14532,48,7052
14628,16,7052
14420,124,6944
14504,72,6972
14488,72,7052
14612,68,6956
14532,48,7100
14500,108,6900
14376,84,7072
14436,-16,6920
14540,40,6968
14568,128,6988
14504,136,7068
14532,72,6888
14460,76,6928
14580,160,7016
14516,44,6984
14480,64,6920
14504,188,6972
14472,132,7172
14468,156,6928
14524,-28,6892
14416,140,6920
14644,92,6988
14496,68,6908
14576,92,6820
14464,216,6900
14520,224,6972
14584,124,6828
14360,48,6844
14564,132,6964
14464,84,6860
14540,24,6952
14428,-12,7220
14576,164,7004
14548,120,6904
14496,-4,7004
14576,0,6820
14444,-16,7044
14484,-48,7048
14524,52,7016
14436,-28,6896
14464,56,6904
14416,60,6912
14464,48,6904
14412,28,6940
14460,52,6844
14528,88,6896
14544,64,6924
14512,60,6884
14436,112,6852
14560,112,7028
14512,156,7064
14440,48,7032
14500,36,6968
14552,48,6812
14496,-12,6772
14468,28,7104
14448,56,6908
14488,132,6948
14484,100,6836
14388,-88,7080
14488,36,6948
14436,80,7108
14488,168,6888
14532,32,7012
14436,52,7028
14436,68,7004
14500,204,7056
14408,64,6956
14492,100,6984
14524,156,6804
14496,72,6984
14492,0,7024
14476,52,6920
14432,-80,7084
14560,16,6864
14444,104,6972
14484,100,6964
14448,36,6916
14512,-12,7084
14508,92,7040
14484,12,6920
14468,44,6840
14492,-64,6948
14420,-20,7072
14500,-68,6772
14512,12,7016
14492,32,6820
14448,88,6872
14456,164,7044
14600,24,6860
14532,148,6940
14464,84,6976
14528,136,7036
14508,164,6892
14544,84,6960
14584,72,6864
14560,72,7004
14492,52,6988
14500,140,6948
14596,172,6936
14456,16,6920
14440,16,7000
14504,48,6996
14572,116,6976
14528,44,6996
14500,8,7164
14460,-40,7068
14424,-100,7028
14532,-132,7012
