ax,ay,az
16488,-1284,1664
16212,-768,1140
16192,-1656,1396
16704,-1688,1348
16348,-1252,1716
16364,-1492,1592
16388,-684,1352
16040,-892,456
16484,-484,1996
16688,-652,1816
16596,-1152,2308
16580,-792,1312
16468,-1388,1776
16040,-1264,1488
16028,-1128,1516
16540,-976,1972
16380,-1384,1772
16828,-1148,2280
15900,-936,1948
16376,-716,1396
16300,-920,1328
16444,-1192,2224
16264,-1060,1268
16488,-784,1676
16644,-1072,2100
16672,-1044,2516
16288,-1208,1516
16408,-1376,2048
16772,-1200,1656
16080,-1228,1812
16176,-932,1516
15792,-1212,1192
16356,-884,616
15876,-904,1388
16252,-728,1836
16588,-996,2204
16560,-1440,1468
16816,-1104,1888
16928,-1188,2516
16772,-804,2200
16760,-796,2384
16796,-1296,2648
16512,-1468,1856
16484,-1416,2552
16596,-1212,3188
15996,-1364,1924
15908,-1112,2608
15972,-948,2276
15960,-872,2496
16664,-732,1692
16684,-452,2412
16844,-1336,1280
16620,-1324,712
16632,-1876,1732
16120,-1096,836
15376,-420,1404
15420,64,3152
17940,2008,2320
16236,248,844
15016,-1664,-708
15792,-2736,3612
18452,-584,3064
16600,-2884,2752
16752,1580,-72
16684,-776,1196
17296,-2772,4048
17700,-220,1500
16260,-384,1824
16396,-252,2232
16552,-84,1396
16712,-440,2176
16992,188,2344
16968,92,1520
16532,-204,1152
16904,-400,1760
16620,-556,716
16816,-656,1356
16112,-276,836
15596,308,1476
16288,-44,1176
16724,-356,892
16860,-804,328
17196,-924,664
16712,-496,540
16636,-620,784
16864,-864,876
17204,-904,928
16796,-1120,1680
16564,-944,856
16248,-644,1024
16192,-848,908
16032,-1080,1308
16312,-1084,-108
16736,-1392,576
16728,-992,296
17048,-1272,380
15780,-1608,828
16152,-956,-292
16268,-1036,152
16036,-1536,120
15892,-1068,-48
16132,-1136,-184
16312,-1200,-332
16804,-1164,196
16860,-920,668
16976,-764,1312
17052,-956,-36
17144,-1136,584
17040,-780,1292
16584,-524,1408
16456,-372,112
16524,-484,740
16604,-732,716
16660,-804,464
16708,-1120,916
16992,-1116,1112
16680,-1360,172
16348,-1252,520
16552,-1188,-196
16576,-784,56
16408,-772,816
16180,-576,1020
16480,-700,256
16584,-740,-24
16668,-1012,156
16536,-972,1104
17128,-976,804
16732,-960,972
16504,-656,148
16388,-868,1096
16916,-756,984
16780,-1408,216
16832,-1124,180
16384,-1052,536
15988,-820,172
16240,-800,384
16492,-716,728
16516,-1188,756
16780,-720,824
16440,-1276,588
16780,-1152,532
16148,-964,1388
16708,-556,216
16636,-764,96
16796,-1120,828
16828,-928,1320
16416,-984,668
16412,-700,392
16272,-784,360
16608,-940,476
16728,-812,864
16460,-716,804
16700,-1008,700
16552,-1064,524
16340,-1060,444
16664,-1220,960
16560,-868,452
16736,-980,820
16456,-904,780
16716,-1000,520
16212,-704,152
16720,-1008,1048
16632,-1336,560
16668,-1032,672
16740,-676,516
16492,-900,736
16332,-620,448
16208,-908,568
16484,-772,244
16720,-1272,1152
17096,-944,948
16744,-836,1252
16604,-936,516
16604,-1044,720
16648,-1056,368
16616,-1200,584
16752,-1384,504
16608,-912,792
16308,-1044,932
16772,-1236,636
16428,-944,708
16624,-1008,616
16668,-1256,952
16668,-1272,404
16524,-1056,816
16256,-964,644
16352,-808,628
16380,-684,468
16700,-892,616
16968,-1224,892
16996,-1384,768
16704,-932,988
16780,560,880
15976,-1044,180
16608,-988,116
16484,-1272,672
16388,-732,548
16492,-996,800
16756,-704,460
16776,-1024,612
16684,-868,732
16704,-1012,884
16384,-896,928
16768,-1048,1052
16776,-1080,812
16764,-1004,508
16664,-1176,264
16756,-880,580
16340,-388,780
16520,-620,944
16848,-880,1320
16880,-896,876
16576,-1180,656
16192,-1084,448
16440,-740,424
16536,-840,352
16648,-964,576
16364,-868,976
16364,-764,404
16588,-1076,336
16920,-1164,624
